"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","Shannon","1",7.02,0.05,3,6.53,0.13,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",7.02,6.53,0.05,0.13,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","Shannon","1",6.77,0.23,3,6.53,0.13,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",6.77,6.53,0.23,0.13,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","Shannon","1",6.68,0.03,3,6.53,0.13,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",6.68,6.53,0.03,0.13,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","CPI","1",1.39,0.17,3,1.08,0.06,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.39,1.08,0.17,0.06,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","CPI","1",1.35,0.17,3,1.08,0.06,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.35,1.08,0.17,0.06,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","CPI","1",1.66,0.05,3,1.08,0.06,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.66,1.08,0.05,0.06,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","CPI","1",1.62,0.14,3,1.08,0.06,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.62,1.08,0.14,0.06,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","CPI","1",1.44,0.15,3,1.08,0.06,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.44,1.08,0.15,0.06,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","LI","1",0.89,0.18,3,0.97,0.08,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",0.89,0.97,0.18,0.08,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","LI","1",1.39,0.58,3,0.97,0.08,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",1.39,0.97,0.58,0.08,"0-20",0,20,10,"0-10","0_10"
